Date,Rate
9/12/2025,9
7/10/2025,9.25
12/8/2025,9.5
10/6/2025,9.75
8/4/2025,10
5/2/2025,10.75
5/12/2024,11.25
8/10/2024,12
6/8/2024,12.75
5/6/2024,13
3/4/2024,13
6/2/2024,13
5/12/2023,12.5
3/10/2023,10.5
9/8/2023,10.5
26/06/2023,10.5
29/05/2023,9.5
29/03/2023,9.5
30/01/2023,8.75
23/11/2022,8.75
29/09/2022,8.25
27/07/2022,7.5
30/05/2022,7.5
29/03/2022,7
26/01/2022,7
29/11/2021,7
28/09/2021,7
28/07/2021,7
26/05/2021,7
29/03/2021,7
27/01/2021,7
26/11/2020,7
29/09/2020,7
29/07/2020,7
25/06/2020,7
27/05/2020,7
27/05/2020,7
29/04/2020,7
23/03/2020,7.25
27/01/2020,8.25
25/11/2019,8.5
23/09/2019,9
24/07/2019,9
27/05/2019,9
27/05/2019,9
27/03/2019,9
28/01/2019,9
27/11/2018,9
25/09/2018,9
30/07/2018,9
28/05/2018,9.5
19/03/2018,9.5
22/01/2018,10
23/11/2017,10
18/09/2017,10
17/07/2017,10
29/05/2017,10
27/03/2017,10
30/01/2017,10
28/11/2016,10
20/09/2016,10
25/07/2016,10.5
23/05/2016,10.5
21/03/2016,11.5
20/01/2016,11.5
17/11/2015,11.5
22/09/2015,11.5
5/8/2015,11.5
7/7/2015,11.5
9/6/2015,10
6/5/2015,8.5
26/02/2015,8.5
14/01/2015,8.5
4/11/2014,8.5
3/9/2014,8.5
8/7/2014,8.5
30/04/2014,8.5
4/3/2014,8.5
14/01/2014,8.5
5/11/2013,8.5
3/9/2013,8.5
9/7/2013,8.5
7/5/2013,8.5
12/3/2013,9.5
10/1/2013,9.5
7/11/2012,11
5/9/2012,13
5/7/2012,16.5
5/6/2012,18
3/5/2012,18
4/4/2012,18
6/3/2012,18
1/2/2012,18
11/1/2012,18
1/12/2011,18
1/11/2011,16.5
5/10/2011,11
14/09/2011,7
27/07/2011,6.25
31/05/2011,6.25
22/03/2011,6
27/01/2011,5.75
25/11/2010,6
23/09/2010,6
2/8/2010,6
28/07/2010,6
20/05/2010,6.75
23/03/2010,6.75
26/01/2010,7
24/11/2009,7
23/09/2009,7.75
22/07/2009,7.75
21/05/2009,8
20/03/2009,8.25
30/01/2009,8.5
1/12/2008,8.5
29/10/2008,9
1/10/2008,9
29/09/2008,9
6/8/2008,9
