Year,Month,12-Month Inflation
2025,December,4.49
2025,November,4.46
2025,October,4.56
2025,September,4.58
2025,August,4.53
2025,July,4.15
2025,June,3.82
2025,May,3.75
2025,April,4.11
2025,March,3.62
2025,February,3.45
2025,January,3.28
2024,December,2.99
2024,November,2.75
2024,October,2.72
2024,September,3.56
2024,August,4.36
2024,July,4.31
2024,June,6.22
2024,May,5.1
2024,April,5
2024,March,5.7
2024,February,6.31
2024,January,6.85
2023,December,6.63
2023,November,6.8
2023,October,6.92
2023,September,6.78
2023,August,6.73
2023,July,7.28
2023,June,7.88
2023,May,8.03
2023,April,7.9
2023,March,9.19
2023,February,9.23
2023,January,8.98
2022,December,9.06
2022,November,9.48
2022,October,9.59
2022,September,9.18
2022,August,8.53
2022,July,8.32
2022,June,7.91
2022,May,7.08
2022,April,6.47
2022,March,5.56
2022,February,5.08
2022,January,5.39
2021,December,5.73
2021,November,5.8
2021,October,6.45
2021,September,6.91
2021,August,6.57
2021,July,6.55
2021,June,6.32
2021,May,5.87
2021,April,5.76
2021,March,5.9
2021,February,5.78
2021,January,5.69
2020,December,5.62
2020,November,5.33
2020,October,4.84
2020,September,4.2
2020,August,4.36
2020,July,4.36
2020,June,4.59
2020,May,5.33
2020,April,6.01
2020,March,5.84
2020,February,7.17
2020,January,5.78
2019,December,5.82
2019,November,5.56
2019,October,4.95
2019,September,3.83
2019,August,5
2019,July,6.27
2019,June,5.7
2019,May,4.49
2019,April,6.58
2019,April,6.58
2019,March,4.35
2019,February,4.14
2019,January,4.7
2018,December,5.71
2018,November,5.58
2018,October,5.53
2018,September,5.7
2018,August,4.04
2018,July,4.35
2018,June,4.28
2018,May,3.95
2018,April,3.73
2018,March,4.18
2018,February,4.46
2018,January,4.83
2017,December,4.5
2017,November,4.73
2017,October,5.72
2017,September,7.06
2017,August,8.04
2017,July,7.47
2017,June,9.21
2017,May,11.7
2017,April,11.48
2017,March,10.28
2017,February,9.04
2017,January,6.99
2016,December,6.35
2016,November,6.68
2016,October,6.47
2016,September,6.34
2016,August,6.26
2016,July,6.4
2016,June,5.8
2016,May,5
2016,April,5.27
2016,March,6.45
2016,February,6.84
2016,January,7.78
2015,December,8.01
2015,November,7.32
2015,October,6.72
2015,September,5.97
2015,August,5.84
2015,July,6.62
2015,June,7.03
2015,May,6.87
2015,April,7.08
2015,March,6.31
2015,February,5.61
2015,January,5.53
2014,December,6.02
2014,November,6.09
2014,October,6.43
2014,September,6.6
2014,August,8.36
2014,July,7.67
2014,June,7.39
2014,May,7.3
2014,April,6.41
2014,March,6.27
2014,February,6.86
2014,January,7.21
2013,December,7.15
2013,November,7.36
2013,October,7.76
2013,September,8.29
2013,August,6.67
2013,July,6.03
2013,June,4.91
2013,May,4.05
2013,April,4.14
2013,March,4.11
2013,February,4.45
2013,January,3.67
2012,December,3.2
2012,November,3.25
2012,October,4.14
2012,September,5.32
2012,August,6.09
2012,July,7.74
2012,June,10.05
2012,May,12.22
2012,April,13.06
2012,March,15.61
2012,February,16.69
2012,January,18.31
2011,December,18.93
2011,November,19.72
2011,October,18.91
2011,September,17.32
2011,August,16.67
2011,July,15.53
2011,June,14.48
2011,May,12.95
2011,April,12.05
2011,March,9.19
2011,February,6.54
2011,January,5.42
2010,December,4.51
2010,November,3.84
2010,October,3.18
2010,September,3.21
2010,August,3.22
2010,July,3.57
2010,June,3.49
2010,May,3.88
2010,April,3.66
2010,March,3.97
2010,February,5.18
2010,January,5.95
2009,December,5.32
2009,November,5
2009,October,6.62
2009,September,6.74
2009,August,7.36
2009,July,8.44
2009,June,8.6
2009,May,9.61
2009,April,12.42
2009,March,14.6
2009,February,14.69
2009,January,13.22
2008,December,17.83
2008,November,19.54
2008,October,18.74
2008,September,18.73
2008,August,18.33
2008,July,17.12
2008,June,17.87
2008,May,18.61
2008,April,16.12
2008,March,11.9
2008,February,10.58
2008,January,9.4
2007,December,5.7
2007,November,6.08
2007,October,5.38
2007,September,5.53
2007,August,5.3
2007,July,5.48
2007,June,4.07
2007,May,1.96
2007,April,1.85
2007,March,2.19
2007,February,3.02
2007,January,4.63
2006,December,7.98
2006,November,6.64
2006,October,6.55
2006,September,5.93
2006,August,4.92
2006,July,4.16
2006,June,4.28
2006,May,4.47
2006,April,5.44
2006,March,8.85
2006,February,9.39
2006,January,8.39
2005,December,4.7
2005,November,4.4
2005,October,3.72
2005,September,4.27
2005,August,6.87
2005,July,11.76
2005,June,11.92
2005,May,14.78
2005,April,16.02
2005,March,14.15
2005,February,13.94
2005,January,14.87
