Year,Month,M2 plus Foreign Deposits-M3
2014,Jan,"2,219,443"
2014,Feb,"2,223,692"
2014,Mar,"2,251,459"
2014,Apr,"2,292,530"
2014,May,"2,344,653"
2014,Jun,"2,352,188"
2014,Jul,"2,393,050"
2014,Aug,"2,457,583"
2014,Sep,"2,457,433"
2014,Oct,"2,466,331"
2014,Nov,"2,504,480"
2014,Dec,"2,539,698"
2015,Jan,"2,565,069"
2015,Feb,"2,627,512"
2015,Mar,"2,620,220"
2015,Apr,"2,687,647"
2015,May,"2,725,481"
2015,Jun,"2,791,244"
2015,Jul,"2,787,659"
2015,Aug,"2,815,344"
2015,Sep,"2,803,412"
2015,Oct,"2,852,519"
2015,Nov,"2,893,571"
2015,Dec,"2,947,822"
2016,Jan,"2,911,002"
2016,Feb,"2,928,240"
2016,Mar,"2,967,178"
2016,Apr,"3,001,415"
2016,May,"3,021,079"
2016,Jun,"3,067,311"
2016,Jul,"3,038,488"
2016,Aug,"3,059,761"
2016,Sep,"3,078,086"
2016,Oct,"3,064,298"
2016,Nov,"3,086,977"
2016,Dec,"3,062,505"
2017,Jan,"3,053,593"
2017,Feb,"3,081,274"
2017,Mar,"3,144,234"
2017,Apr,"3,205,027"
2017,May,"3,218,597"
2017,Jun,"3,251,642"
2017,Jul,"3,276,934"
2017,Aug,"3,287,733"
2017,Sep,"3,308,889"
2017,Oct,"3,298,967"
2017,Nov,"3,321,615"
2017,Dec,"3,338,385"
2018,Jan,"3,339,772"
2018,Feb,"3,340,151"
2018,Mar,"3,356,282"
2018,Apr,"3,400,824"
2018,May,"3,468,046"
2018,Jun,"3,586,180"
2018,Jul,"3,603,555"
2018,Aug,"3,590,783"
2018,Sep,"3,589,975"
2018,Oct,"3,604,904"
2018,Nov,"3,605,786"
2018,Dec,"3,676,329"
2019,Jan,"3,683,050"
2019,Feb,"3,678,544"
2019,Mar,"3,765,930"
2019,Apr,"3,763,661"
2019,May,"3,773,916"
2019,Jun,"3,925,042"
2019,Jul,"3,875,325"
2019,Aug,"3,831,822"
2019,Sep,"3,843,552"
2019,Oct,"3,887,174"
2019,Nov,"3,832,368"
2019,Dec,"3,897,552"
2020,Jan,"3,906,203"
2020,Feb,"3,986,468"
2020,Mar,"4,055,325"
2020,Apr,"4,098,713"
2020,May,"4,151,224"
2020,Jun,"4,283,046"
2020,Jul,"4,307,145"
2020,Aug,"4,256,049"
2020,Sep,"4,252,506"
2020,Oct,"4,342,037"
2020,Nov,"4,373,248"
2020,Dec,"4,414,885"
2021,Jan,"4,423,599"
2021,Feb,"4,474,731"
2021,Mar,"4,472,216"
2021,Apr,"4,483,860"
2021,May,"4,485,047"
2021,Jun,"4,580,405"
2021,Jul,"4,626,482"
2021,Aug,"4,684,017"
2021,Sep,"4,627,476"
2021,Oct,"4,667,011"
2021,Nov,"4,690,703"
2021,Dec,"4,689,439"
2022,Jan,"4,644,268"
2022,Feb,"4,698,298"
2022,Mar,"4,707,623"
2022,Apr,"4,811,956"
2022,May,"4,808,724"
2022,Jun,"4,933,307"
2022,Jul,"4,997,118"
2022,Aug,"4,940,080"
2022,Sep,"4,926,741"
2022,Oct,"4,930,927"
2022,Nov,"4,966,928"
2022,Dec,"5,042,419"
2023,Jan,"5,077,667"
2023,Feb,"5,102,239"
2023,Mar,"5,197,653"
2023,Apr,"5,258,973"
2023,May,"5,309,921"
2023,Jun,"5,575,440"
2023,Jul,"5,673,797"
2023,Aug,"5,774,645"
2023,Sep,"5,841,131"
2023,Oct,"5,882,723"
2023,Nov,"5,952,329"
2023,Dec,"6,044,533"
2024,Jan,"6,111,086"
2024,Feb,"6,003,981"
2024,Mar,"5,796,962"
2024,Apr,"5,836,272"
2024,May,"5,850,080"
2024,Jun,"5,965,620"
2024,Jul,"6,017,840"
2024,Aug,"6,010,268"
2024,Sep,"5,992,151"
2024,Oct,"5,987,465"
2024,Nov,"6,108,373"
2024,Dec,"6,105,541"
2025,Jan,"6,097,123"
2025,Feb,"6,152,622"
2025,Mar,"6,177,383"
2025,Apr,"6,262,843"
2025,May,"6,348,333"
2025,Jun,"6,450,107"
2025,Jul,"6,422,710"
2025,Aug,"6,443,903"
2025,Sept,"6,446,158"
2025,Oct,"6,495,742"
2025,Nov,"6,620,060"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
