Date,Price,Open,High,Low,Vol.,Change %
2/6/2026,"1,679.60","1,681.46","1,693.47","1,678.78",286.52M,-0.11%
2/5/2026,"1,681.46","1,670.84","1,686.48","1,670.84",176.42M,0.64%
2/4/2026,"1,670.84","1,632.73","1,675.17","1,632.73",141.68M,2.33%
2/3/2026,"1,632.73","1,611.43","1,642.20","1,611.17",221.35M,1.32%
2/2/2026,"1,611.43","1,621.77","1,635.99","1,608.42",162.43M,-0.64%
1/30/2026,"1,621.77","1,634.46","1,643.55","1,621.57",116.79M,-0.78%
1/29/2026,"1,634.46","1,623.36","1,638.53","1,623.15",101.76M,0.68%
1/28/2026,"1,623.36","1,630.48","1,637.05","1,623.24",129.27M,-0.44%
1/27/2026,"1,630.48","1,632.31","1,644.32","1,629.06",105.37M,-0.11%
1/26/2026,"1,632.31","1,631.99","1,641.05","1,627.38",128.98M,0.02%
1/23/2026,"1,631.99","1,628.79","1,632.63","1,614.61",150.77M,0.31%
1/22/2026,"1,627.02","1,642.70","1,645.03","1,623.06",150.60M,-0.95%
1/21/2026,"1,642.70","1,647.09","1,649.98","1,640.78",161.21M,-0.27%
1/20/2026,"1,647.09","1,658.56","1,659.35","1,641.96",162.81M,-0.69%
1/19/2026,"1,658.56","1,653.90","1,664.77","1,652.53",151.25M,0.28%
1/16/2026,"1,653.90","1,647.60","1,656.76","1,647.60",138.71M,0.38%
1/15/2026,"1,647.60","1,634.85","1,651.80","1,634.85",241.99M,0.78%
1/14/2026,"1,634.85","1,633.99","1,652.26","1,633.99",132.38M,0.05%
1/13/2026,"1,633.99","1,612.49","1,634.98","1,612.49",167.57M,1.33%
1/12/2026,"1,612.49","1,598.77","1,612.49","1,598.77",256.08M,0.86%
1/9/2026,"1,598.77","1,600.84","1,606.30","1,596.39",105.54M,-0.13%
1/8/2026,"1,600.84","1,613.02","1,622.79","1,595.30",117.85M,-0.40%
1/7/2026,"1,607.26","1,623.22","1,629.89","1,604.80",127.09M,-0.98%
1/6/2026,"1,623.22","1,624.08","1,665.93","1,615.92",164.46M,-0.05%
1/5/2026,"1,624.08","1,551.09","1,627.59","1,551.09",166.03M,4.71%
1/2/2026,"1,551.09","1,515.85","1,551.09","1,511.77",66.35M,2.32%
12/31/2025,"1,515.85","1,494.92","1,516.66","1,475.57",234.68M,1.40%
12/30/2025,"1,494.92","1,504.52","1,508.88","1,490.15",582.89M,-0.48%
12/29/2025,"1,502.18","1,506.65","1,509.25","1,488.10",884.97M,-0.28%
12/24/2025,"1,506.45","1,480.91","1,509.37","1,480.91",152.18M,1.72%
12/23/2025,"1,480.91","1,462.91","1,482.37","1,462.91",225.46M,1.23%
12/22/2025,"1,462.91","1,464.76","1,478.06","1,462.91",111.12M,-0.04%
12/19/2025,"1,463.56","1,462.34","1,471.33","1,435.35",206.86M,0.08%
12/18/2025,"1,462.34","1,454.13","1,469.55","1,442.70",535.40M,0.56%
12/17/2025,"1,454.13","1,433.40","1,454.13","1,432.11",301.85M,1.48%
12/16/2025,"1,432.88","1,437.97","1,438.49","1,421.16",571.37M,-0.28%
12/15/2025,"1,436.97","1,424.34","1,437.49","1,416.93",271.26M,0.89%
12/12/2025,"1,424.34","1,432.07","1,432.07","1,417.96",210.70M,-0.54%
12/11/2025,"1,432.07","1,437.81","1,438.06","1,432.07",329.87M,-0.35%
12/10/2025,"1,437.03","1,438.68","1,448.18","1,434.33",245.53M,-0.11%
